openId,tag,openWallMs,packets,rawBytes,compressedBytes,instances,firstContentMs,completeMs,fillGapMs,deserializeMsTotal,applyMsTotal,viewRebuildMsTotal,longestStallMs,measureOverheadMs
17,P0_1000_1ch_A_r1,1788683648558,2,122891,18651,1000,20.235,30.000,9.765,4.155,3.909,2.054,2.155,4.891
18,P0_1000_1ch_A_r2,1788683655217,2,122891,18651,1000,7.112,12.000,4.888,3.552,3.734,2.124,2.136,3.276
19,P0_1000_1ch_A_r3,1788683661885,2,122891,18651,1000,7.112,11.000,3.888,3.505,3.984,1.950,2.254,3.053
20,P0_1000_1ch_B_r1,1788683668629,2,122891,18651,1000,9.179,15.000,5.821,3.834,3.623,2.795,1.950,3.211
21,P0_1000_1ch_B_r2,1788683675321,2,122891,18651,1000,7.081,16.000,8.919,3.573,7.660,1.881,5.615,3.048
22,P0_1000_1ch_B_r3,1788683682022,2,122891,18651,1000,6.869,15.000,8.131,4.626,5.032,1.833,2.953,3.500
23,delta_P0_1000_1ch_C_r1,1788683688673,2,122891,18651,1000,9.227,14.000,4.773,3.692,3.806,1.997,2.075,3.461
24,P0_1000_1ch_C_r1,1788683701336,2,121628,18512,997,7.557,12.000,4.443,3.525,3.661,2.588,2.056,3.078
25,delta_P0_1000_1ch_C_r2,1788683708060,2,121628,18512,997,37.766,42.000,4.234,3.811,3.662,2.027,2.086,3.338
26,P0_1000_1ch_C_r2,1788683720714,2,121046,18460,994,7.923,13.000,5.077,3.600,3.426,2.098,1.929,3.134
27,delta_P0_1000_1ch_C_r3,1788683727424,2,121046,18460,994,6.520,11.000,4.480,3.523,3.406,2.112,1.894,3.012
28,P0_1000_1ch_C_r3,1788683740080,2,120415,18369,991,7.397,12.000,4.603,3.519,3.628,2.192,2.022,3.244
29,delta_P0_1000_1ch_D_r1,1788683746765,2,120415,18369,991,7.329,12.000,4.671,3.414,3.679,2.370,2.109,3.093
30,P0_1000_1ch_D_r1,1788683759408,2,116644,17879,960,38.792,43.000,4.208,3.332,3.358,1.808,1.988,3.032
31,delta_P0_1000_1ch_D_r2,1788683766131,2,116644,17879,960,7.759,12.000,4.241,3.491,3.519,1.980,2.043,3.081
32,P0_1000_1ch_D_r2,1788683778819,2,110305,17037,932,8.397,12.000,3.603,3.712,4.211,1.932,2.788,2.909
33,delta_P0_1000_1ch_D_r3,1788683785485,2,110305,17037,932,7.026,11.000,3.974,3.296,3.485,2.053,2.056,2.866
34,P0_1000_1ch_D_r3,1788683798163,2,106873,16613,903,7.065,10.000,2.935,3.215,3.084,1.794,1.877,2.794
35,P0_1000_4ch_A_r1,1788683810836,4,123074,20638,1000,3.422,10.000,6.578,3.525,1.954,0.977,0.541,3.103
36,P0_1000_4ch_A_r2,1788683817475,4,123074,20638,1000,3.491,10.000,6.509,3.896,2.126,0.977,0.592,3.042
37,P0_1000_4ch_A_r3,1788683824121,4,123074,20638,1000,3.421,11.000,7.579,3.992,2.128,0.971,0.611,3.464
38,P0_1000_4ch_B_r1,1788683830766,4,123074,20638,1000,3.418,10.000,6.582,3.812,2.053,1.055,0.574,3.078
39,P0_1000_4ch_B_r2,1788683837474,4,123074,20638,1000,4.147,11.000,6.853,4.046,2.219,1.068,0.642,3.155
