openId,tag,wallMs,packetClass,instanceCount,rawBytes,compressedBytes,deserializeMs,applyMs,sinceOpenMs
17,P0_1000_1ch_A_r1,1788683648579,TerminalStorageIngredientChangeEventPacket,512,68006,10092,2.383,2.155,20.323
17,P0_1000_1ch_A_r1,1788683648588,TerminalStorageIngredientChangeEventPacket,488,54885,8559,1.772,1.754,29.411
18,P0_1000_1ch_A_r2,1788683655225,TerminalStorageIngredientChangeEventPacket,512,68006,10092,2.034,2.136,7.142
18,P0_1000_1ch_A_r2,1788683655229,TerminalStorageIngredientChangeEventPacket,488,54885,8559,1.517,1.598,11.922
19,P0_1000_1ch_A_r3,1788683661892,TerminalStorageIngredientChangeEventPacket,512,68006,10092,2.024,2.254,7.143
19,P0_1000_1ch_A_r3,1788683661896,TerminalStorageIngredientChangeEventPacket,488,54885,8559,1.481,1.730,11.896
20,P0_1000_1ch_B_r1,1788683668639,TerminalStorageIngredientChangeEventPacket,512,68006,10092,2.095,1.950,9.214
20,P0_1000_1ch_B_r1,1788683668644,TerminalStorageIngredientChangeEventPacket,488,54885,8559,1.738,1.672,14.326
21,P0_1000_1ch_B_r2,1788683675328,TerminalStorageIngredientChangeEventPacket,512,68006,10092,1.990,2.046,7.114
21,P0_1000_1ch_B_r2,1788683675337,TerminalStorageIngredientChangeEventPacket,488,54885,8559,1.583,5.615,15.786
22,P0_1000_1ch_B_r3,1788683682029,TerminalStorageIngredientChangeEventPacket,512,68006,10092,1.960,2.079,6.905
22,P0_1000_1ch_B_r3,1788683682037,TerminalStorageIngredientChangeEventPacket,488,54885,8559,2.666,2.953,14.532
23,delta_P0_1000_1ch_C_r1,1788683688682,TerminalStorageIngredientChangeEventPacket,512,68006,10092,2.048,2.075,9.262
23,delta_P0_1000_1ch_C_r1,1788683688687,TerminalStorageIngredientChangeEventPacket,488,54885,8559,1.644,1.731,14.400
23,delta_P0_1000_1ch_C_r1,1788683694712,TerminalStorageIngredientChangeEventPacket,6,1279,504,0.240,0.189,6039.371
