openId,tag,wallMs,player,channels,totalPackets,totalRawBytes,totalCompressedBytes,ingredientPackets,ingredientRawBytes,ingredientCompressedBytes,craftingPackets,craftingRawBytes,craftingCompressedBytes,ingredientInstances,craftingRecipes,mainThreadMs,totalMs,measureOverheadMs,unwritableTransitions,minBytesBeforeUnwritable,maxOutboundBuffered
17,P0_1000_1ch_A_r1,1788683648553,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,4.617,7.590,5.522,0,55324,10213
18,P0_1000_1ch_A_r2,1788683655205,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,5.906,7.517,4.055,0,55324,10213
19,P0_1000_1ch_A_r3,1788683661853,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,4.327,9.149,6.811,0,55122,10415
20,P0_1000_1ch_B_r1,1788683668604,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,9.525,9.525,10.791,0,65537,0
21,P0_1000_1ch_B_r2,1788683675305,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,4.349,9.341,3.861,0,65537,0
22,P0_1000_1ch_B_r3,1788683682007,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,4.575,7.755,3.608,0,65537,0
23,delta_P0_1000_1ch_C_r1,1788683688657,ClientDevBridge,1,4,122995,18725,4,122995,18725,0,0,0,1000,0,7.494,7.494,8.125,0,65429,108
24,P0_1000_1ch_C_r1,1788683701304,ClientDevBridge,1,4,121732,18586,4,121732,18586,0,0,0,997,0,9.132,15.159,8.489,0,65537,0
25,delta_P0_1000_1ch_C_r2,1788683708053,ClientDevBridge,1,4,121732,18586,4,121732,18586,0,0,0,997,0,4.622,8.402,5.372,0,65537,0
26,P0_1000_1ch_C_r2,1788683720704,ClientDevBridge,1,4,121150,18534,4,121150,18534,0,0,0,994,0,4.488,6.114,3.937,0,65537,0
27,delta_P0_1000_1ch_C_r3,1788683727405,ClientDevBridge,1,4,121150,18534,4,121150,18534,0,0,0,994,0,7.565,7.565,3.365,0,65537,0
28,P0_1000_1ch_C_r3,1788683740053,ClientDevBridge,1,4,120519,18443,4,120519,18443,0,0,0,991,0,4.205,9.528,3.956,0,65537,0
29,delta_P0_1000_1ch_D_r1,1788683746754,ClientDevBridge,1,4,120519,18443,4,120519,18443,0,0,0,991,0,4.337,5.995,3.653,0,65537,0
30,P0_1000_1ch_D_r1,1788683759404,ClientDevBridge,1,4,116748,17953,4,116748,17953,0,0,0,960,0,4.335,9.366,4.023,0,65537,0
31,delta_P0_1000_1ch_D_r2,1788683766103,ClientDevBridge,1,4,116748,17953,4,116748,17953,0,0,0,960,0,7.556,7.556,6.508,0,65537,0
32,P0_1000_1ch_D_r2,1788683778805,ClientDevBridge,1,4,110409,17111,4,110409,17111,0,0,0,932,0,3.995,5.563,3.494,0,65537,0
33,delta_P0_1000_1ch_D_r3,1788683785453,ClientDevBridge,1,4,110409,17111,4,110409,17111,0,0,0,932,0,4.218,7.179,3.824,0,55273,10264
34,P0_1000_1ch_D_r3,1788683798153,ClientDevBridge,1,4,106977,16687,4,106977,16687,0,0,0,903,0,4.121,5.691,3.268,0,65537,0
35,P0_1000_4ch_A_r1,1788683810804,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,13.005,13.005,4.135,0,65537,0
36,P0_1000_4ch_A_r2,1788683817457,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,6.157,6.157,3.716,0,65537,0
37,P0_1000_4ch_A_r3,1788683824103,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,7.780,7.780,3.902,0,65537,0
38,P0_1000_4ch_B_r1,1788683830754,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,6.489,6.489,3.896,0,65537,0
39,P0_1000_4ch_B_r2,1788683837456,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,8.481,8.481,4.087,0,65537,0
40,P0_1000_4ch_B_r3,1788683844053,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,5.597,5.597,3.669,0,65537,0
41,P0_1000_4ch_E_r1,1788683850808,ClientDevBridge,4,8,123282,20790,8,123282,20790,0,0,0,1000,0,8.842,8.842,4.139,0,60246,5291
42,P0_1000_4ch_E_r2,1788683857756,ClientDevBridge,4,12,123570,21008,12,123570,21008,0,0,0,1000,0,7.256,7.256,4.063,0,65537,0
43,P0_1000_4ch_E_r3,1788683864604,ClientDevBridge,4,12,123570,21008,12,123570,21008,0,0,0,1000,0,8.325,8.325,4.047,0,65537,0
44,delta_P0_1000_4ch_C_r1,1788683871454,ClientDevBridge,4,12,123570,21008,12,123570,21008,0,0,0,1000,0,6.268,6.268,4.157,0,65537,0
45,P0_1000_4ch_C_r1,1788683884103,ClientDevBridge,4,12,123323,20962,12,123323,20962,0,0,0,996,0,5.853,5.853,3.806,0,60263,5274
46,delta_P0_1000_4ch_C_r2,1788683890803,ClientDevBridge,4,12,123323,20962,12,123323,20962,0,0,0,996,0,12.425,12.425,4.099,0,65537,0
47,P0_1000_4ch_C_r2,1788683903503,ClientDevBridge,4,12,123075,20916,12,123075,20916,0,0,0,992,0,8.524,8.524,7.018,0,60267,5270
48,delta_P0_1000_4ch_C_r3,1788683910104,ClientDevBridge,4,12,123075,20916,12,123075,20916,0,0,0,992,0,5.941,5.941,6.343,0,60275,5262
