openId,tag,wallMs,player,tabId,channel,packetClass,instanceCount,rawBytes,compressedBytes,thread,sinceOpenMs
17,P0_1000_1ch_A_r1,1788683648561,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-71-thread-1,7.889
17,P0_1000_1ch_A_r1,1788683648563,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-71-thread-1,9.506
17,P0_1000_1ch_A_r1,1788683648566,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-71-thread-1,12.979
17,P0_1000_1ch_A_r1,1788683648567,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-71-thread-1,13.113
18,P0_1000_1ch_A_r2,1788683655214,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-75-thread-1,8.370
18,P0_1000_1ch_A_r2,1788683655214,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-75-thread-1,8.564
18,P0_1000_1ch_A_r2,1788683655217,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-75-thread-1,11.481
18,P0_1000_1ch_A_r2,1788683655217,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-75-thread-1,11.573
19,P0_1000_1ch_A_r3,1788683661864,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-79-thread-1,10.322
19,P0_1000_1ch_A_r3,1788683661867,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-79-thread-1,13.076
19,P0_1000_1ch_A_r3,1788683661869,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-79-thread-1,15.878
19,P0_1000_1ch_A_r3,1788683661869,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-79-thread-1,15.962
20,P0_1000_1ch_B_r1,1788683668616,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-83-thread-1,12.058
20,P0_1000_1ch_B_r1,1788683668616,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-83-thread-1,12.718
20,P0_1000_1ch_B_r1,1788683668622,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-83-thread-1,18.024
20,P0_1000_1ch_B_r1,1788683668622,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-83-thread-1,18.147
21,P0_1000_1ch_B_r2,1788683675315,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-87-thread-1,10.169
21,P0_1000_1ch_B_r2,1788683675315,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-87-thread-1,10.432
21,P0_1000_1ch_B_r2,1788683675318,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-87-thread-1,13.109
21,P0_1000_1ch_B_r2,1788683675318,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-87-thread-1,13.204
22,P0_1000_1ch_B_r3,1788683682015,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-91-thread-1,8.342
22,P0_1000_1ch_B_r3,1788683682015,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-91-thread-1,8.557
22,P0_1000_1ch_B_r3,1788683682018,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-91-thread-1,11.274
22,P0_1000_1ch_B_r3,1788683682018,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-91-thread-1,11.364
23,delta_P0_1000_1ch_C_r1,1788683688669,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68006,10092,pool-95-thread-1,12.115
23,delta_P0_1000_1ch_C_r1,1788683688669,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-95-thread-1,12.373
23,delta_P0_1000_1ch_C_r1,1788683688672,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,488,54885,8559,pool-95-thread-1,15.300
23,delta_P0_1000_1ch_C_r1,1788683688672,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-95-thread-1,15.461
23,delta_P0_1000_1ch_C_r1,1788683694693,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,6,1279,504,Server thread,6036.414
23,delta_P0_1000_1ch_C_r1,1788683694694,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6036.966
23,delta_P0_1000_1ch_C_r1,1788683694695,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,7,1767,560,Server thread,6037.730
23,delta_P0_1000_1ch_C_r1,1788683694695,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6038.014
24,P0_1000_1ch_C_r1,1788683701317,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,67523,10039,pool-99-thread-1,13.689
24,P0_1000_1ch_C_r1,1788683701318,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-99-thread-1,13.913
24,P0_1000_1ch_C_r1,1788683701326,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,485,54105,8473,pool-99-thread-1,22.496
24,P0_1000_1ch_C_r1,1788683701327,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-99-thread-1,23.651
25,delta_P0_1000_1ch_C_r2,1788683708063,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,67523,10039,pool-103-thread-1,9.165
25,delta_P0_1000_1ch_C_r2,1788683708063,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-103-thread-1,9.487
25,delta_P0_1000_1ch_C_r2,1788683708067,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,485,54105,8473,pool-103-thread-1,13.615
25,delta_P0_1000_1ch_C_r2,1788683708067,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-103-thread-1,13.776
25,delta_P0_1000_1ch_C_r2,1788683714056,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,6,1275,497,Server thread,6003.024
25,delta_P0_1000_1ch_C_r2,1788683714057,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6003.764
25,delta_P0_1000_1ch_C_r2,1788683714058,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,7,1071,445,Server thread,6004.452
25,delta_P0_1000_1ch_C_r2,1788683714058,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6004.655
26,P0_1000_1ch_C_r2,1788683720710,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,67588,10050,pool-107-thread-1,6.805
26,P0_1000_1ch_C_r2,1788683720711,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-107-thread-1,7.034
26,P0_1000_1ch_C_r2,1788683720714,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,482,53458,8410,pool-107-thread-1,9.957
26,P0_1000_1ch_C_r2,1788683720714,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-107-thread-1,10.052
27,delta_P0_1000_1ch_C_r3,1788683727411,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,67588,10050,pool-111-thread-1,6.029
27,delta_P0_1000_1ch_C_r3,1788683727411,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-111-thread-1,6.263
27,delta_P0_1000_1ch_C_r3,1788683727413,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,482,53458,8410,pool-111-thread-1,8.806
27,delta_P0_1000_1ch_C_r3,1788683727414,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-111-thread-1,8.893
27,delta_P0_1000_1ch_C_r3,1788683733406,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,5,640,261,Server thread,6001.357
27,delta_P0_1000_1ch_C_r3,1788683733406,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6001.558
27,delta_P0_1000_1ch_C_r3,1788683733407,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,8,1213,475,Server thread,6002.082
27,delta_P0_1000_1ch_C_r3,1788683733407,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6002.133
28,P0_1000_1ch_C_r3,1788683740063,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,67643,10056,pool-115-thread-1,9.725
28,P0_1000_1ch_C_r3,1788683740063,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-115-thread-1,9.977
28,P0_1000_1ch_C_r3,1788683740067,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,479,52772,8313,pool-115-thread-1,13.365
28,P0_1000_1ch_C_r3,1788683740067,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-115-thread-1,13.485
29,delta_P0_1000_1ch_D_r1,1788683746760,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,67643,10056,pool-119-thread-1,6.774
29,delta_P0_1000_1ch_D_r1,1788683746761,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-119-thread-1,6.985
29,delta_P0_1000_1ch_D_r1,1788683746763,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,479,52772,8313,pool-119-thread-1,9.565
29,delta_P0_1000_1ch_D_r1,1788683746763,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-119-thread-1,9.649
29,delta_P0_1000_1ch_D_r1,1788683752757,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,49,8076,1720,Server thread,6003.540
29,delta_P0_1000_1ch_D_r1,1788683752757,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6003.734
29,delta_P0_1000_1ch_D_r1,1788683752759,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,76,8988,2017,Server thread,6005.062
29,delta_P0_1000_1ch_D_r1,1788683752759,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6005.155
30,P0_1000_1ch_D_r1,1788683759410,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68587,10178,pool-123-thread-1,6.788
30,P0_1000_1ch_D_r1,1788683759411,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-123-thread-1,7.056
30,P0_1000_1ch_D_r1,1788683759417,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,448,48057,7701,pool-123-thread-1,13.233
30,P0_1000_1ch_D_r1,1788683759417,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-123-thread-1,13.390
31,delta_P0_1000_1ch_D_r2,1788683766114,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68587,10178,pool-127-thread-1,10.210
31,delta_P0_1000_1ch_D_r2,1788683766114,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-127-thread-1,10.526
31,delta_P0_1000_1ch_D_r2,1788683766117,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,448,48057,7701,pool-127-thread-1,13.357
31,delta_P0_1000_1ch_D_r2,1788683766117,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-127-thread-1,13.482
31,delta_P0_1000_1ch_D_r2,1788683772107,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,47,5798,1306,Server thread,6003.164
31,delta_P0_1000_1ch_D_r2,1788683772108,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6004.040
31,delta_P0_1000_1ch_D_r2,1788683772110,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,73,10774,2304,Server thread,6006.140
31,delta_P0_1000_1ch_D_r2,1788683772110,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6007.027
32,P0_1000_1ch_D_r2,1788683778811,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68189,10142,pool-131-thread-1,6.505
32,P0_1000_1ch_D_r2,1788683778812,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-131-thread-1,6.778
32,P0_1000_1ch_D_r2,1788683778814,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,420,42116,6895,pool-131-thread-1,8.974
32,P0_1000_1ch_D_r2,1788683778814,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-131-thread-1,9.057
33,delta_P0_1000_1ch_D_r3,1788683785462,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,68189,10142,pool-135-thread-1,8.234
33,delta_P0_1000_1ch_D_r3,1788683785462,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-135-thread-1,8.446
33,delta_P0_1000_1ch_D_r3,1788683785464,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,420,42116,6895,pool-135-thread-1,10.880
33,delta_P0_1000_1ch_D_r3,1788683785464,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-135-thread-1,11.005
33,delta_P0_1000_1ch_D_r3,1788683791458,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,42,5003,1153,Server thread,6005.027
33,delta_P0_1000_1ch_D_r3,1788683791459,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6005.562
33,delta_P0_1000_1ch_D_r3,1788683791460,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,78,8107,1917,Server thread,6006.907
33,delta_P0_1000_1ch_D_r3,1788683791460,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,Server thread,6006.985
34,P0_1000_1ch_D_r3,1788683798160,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,66615,9999,pool-139-thread-1,6.663
34,P0_1000_1ch_D_r3,1788683798160,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-139-thread-1,6.906
34,P0_1000_1ch_D_r3,1788683798162,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,391,40258,6614,pool-139-thread-1,8.887
34,P0_1000_1ch_D_r3,1788683798162,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,37,pool-139-thread-1,8.959
35,P0_1000_4ch_A_r1,1788683810808,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,4.141
35,P0_1000_4ch_A_r1,1788683810809,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,4.885
35,P0_1000_4ch_A_r1,1788683810814,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientChangeEventPacket,250,30814,5169,Server thread,9.927
35,P0_1000_4ch_A_r1,1788683810816,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,11.609
35,P0_1000_4ch_A_r1,1788683810818,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientChangeEventPacket,250,30715,5165,Server thread,14.353
35,P0_1000_4ch_A_r1,1788683810819,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,14.488
35,P0_1000_4ch_A_r1,1788683810821,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientChangeEventPacket,250,30788,5140,Server thread,16.787
35,P0_1000_4ch_A_r1,1788683810821,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,16.887
36,P0_1000_4ch_A_r2,1788683817459,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,2.325
36,P0_1000_4ch_A_r2,1788683817459,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,2.535
36,P0_1000_4ch_A_r2,1788683817462,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientChangeEventPacket,250,30814,5169,Server thread,5.015
36,P0_1000_4ch_A_r2,1788683817462,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,5.128
36,P0_1000_4ch_A_r2,1788683817464,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientChangeEventPacket,250,30715,5165,Server thread,7.327
36,P0_1000_4ch_A_r2,1788683817464,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,7.438
36,P0_1000_4ch_A_r2,1788683817466,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientChangeEventPacket,250,30788,5140,Server thread,9.501
36,P0_1000_4ch_A_r2,1788683817466,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,9.604
37,P0_1000_4ch_A_r3,1788683824106,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,2.543
37,P0_1000_4ch_A_r3,1788683824106,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,2.744
37,P0_1000_4ch_A_r3,1788683824110,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientChangeEventPacket,250,30814,5169,Server thread,6.652
37,P0_1000_4ch_A_r3,1788683824110,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,6.806
37,P0_1000_4ch_A_r3,1788683824113,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientChangeEventPacket,250,30715,5165,Server thread,9.163
37,P0_1000_4ch_A_r3,1788683824113,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,9.247
37,P0_1000_4ch_A_r3,1788683824115,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientChangeEventPacket,250,30788,5140,Server thread,11.367
37,P0_1000_4ch_A_r3,1788683824115,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,11.438
38,P0_1000_4ch_B_r1,1788683830757,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,2.808
38,P0_1000_4ch_B_r1,1788683830757,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,2.989
38,P0_1000_4ch_B_r1,1788683830760,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientChangeEventPacket,250,30814,5169,Server thread,5.333
38,P0_1000_4ch_B_r1,1788683830760,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,5.439
38,P0_1000_4ch_B_r1,1788683830762,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientChangeEventPacket,250,30715,5165,Server thread,7.759
38,P0_1000_4ch_B_r1,1788683830762,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,7.874
38,P0_1000_4ch_B_r1,1788683830764,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientChangeEventPacket,250,30788,5140,Server thread,10.003
38,P0_1000_4ch_B_r1,1788683830764,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,10.100
39,P0_1000_4ch_B_r2,1788683837459,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,2.989
39,P0_1000_4ch_B_r2,1788683837460,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,4.545
39,P0_1000_4ch_B_r2,1788683837463,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientChangeEventPacket,250,30814,5169,Server thread,7.007
39,P0_1000_4ch_B_r2,1788683837463,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,7.091
39,P0_1000_4ch_B_r2,1788683837465,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientChangeEventPacket,250,30715,5165,Server thread,9.439
39,P0_1000_4ch_B_r2,1788683837465,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,9.546
39,P0_1000_4ch_B_r2,1788683837468,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientChangeEventPacket,250,30788,5140,Server thread,12.155
39,P0_1000_4ch_B_r2,1788683837468,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,12.285
40,P0_1000_4ch_B_r3,1788683844056,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,2.214
40,P0_1000_4ch_B_r3,1788683844056,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,2.408
40,P0_1000_4ch_B_r3,1788683844058,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientChangeEventPacket,250,30814,5169,Server thread,4.603
40,P0_1000_4ch_B_r3,1788683844058,ClientDevBridge,minecraft:itemstack,1,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,4.700
40,P0_1000_4ch_B_r3,1788683844060,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientChangeEventPacket,250,30715,5165,Server thread,6.796
40,P0_1000_4ch_B_r3,1788683844060,ClientDevBridge,minecraft:itemstack,2,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,6.887
40,P0_1000_4ch_B_r3,1788683844062,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientChangeEventPacket,250,30788,5140,Server thread,8.871
40,P0_1000_4ch_B_r3,1788683844062,ClientDevBridge,minecraft:itemstack,3,TerminalStorageIngredientMaxQuantityPacket,0,52,38,Server thread,8.982
41,P0_1000_4ch_E_r1,1788683850810,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,250,30757,5164,Server thread,2.756
